participant_id,transcription_expected,transcription_raw
__whisper__,first put on your socks then put on your crayons,"First put on your socks, then put on your crayons."
__whisper__,the gift was inside the zebra,The gift was inside the zebras.
__whisper__,the gift was inside the box,The gift will inside the box.
__whisper__,at the picnic the crumbs attracted eggs,"at the picnic, the crumbs attract eggs."
__whisper__,at the picnic the crumbs attracted ants,"At the picnic, the crumbs attract ants."
__whisper__,the pilot flew the airplane,the pilot flew the airplane.
__whisper__,the pilot flew the rope,the pilot flew the rope.
__whisper__,on her finger she wore a ring,on her finger she wore a ring.
__whisper__,on her finger she wore a rocket,on her finger she wore a rocket.
__whisper__,for halloween he carved a pumpkin,"For Halloween, he carved the pumpkin."
__whisper__,for halloween he carved a dress,"For Halloween, he carved the dress."
__whisper__,at the zoo i saw a tall giraffe,at the zoo. I saw a tall giraffe.
__whisper__,at the zoo i saw a tall key,at the zoo. I saw a tall key.
__whisper__,at the haunted house i saw a bird,"at the haunted house, I saw a bird."
__whisper__,at the haunted house i saw a ghost,"at the haunted house, I saw a ghost."
__whisper__,sitting on the lilypad was a bridge,Sitting on the lily pad was a bridge.
__whisper__,sitting on the lilypad was a frog,Sitting on the Lily Pad was a frog.
__whisper__,grandma sits on her porch in a bat,Grandmust sits on her porch in a bat.
__whisper__,grandma sits on her porch in a chair,Grandmas is on her porch in a chair.
__whisper__,i fixed the torn page with a piece of tape,I fix the torn page with a piece of tape.
__whisper__,i fixed the torn page with a piece of book,I fixed the torn page with a piece of book.
__whisper__,the bunny nibbled a clown,The bunny never would a clown.
__whisper__,the bunny nibbled a carrot,The bunny never would occur at all.
__whisper__,for breakfast i scrambled the eggs,"For breakfast, I scrambled the eggs."
__whisper__,for breakfast i scrambled the guns,"For breakfast, I scrambled the guns."
__whisper__,oink oink said the pig,oink wink said the pig.
__whisper__,oink oink said the shoes,"oink wink, set the shoes."
__whisper__,to keep the sun out of my face i wear a hat,to keep the sun out of my face. I wear a hat.
__whisper__,to keep the sun out of my face i wear a train,"To keep the sun out of my face, I wear a train."
__whisper__,the boy put the groceries in a horse,The boy put the groceries in a horse.
__whisper__,the boy put the groceries in a bag,the boy put the groceries in the back.
__whisper__,when grandma reads she needs her glasses,"When Gwen Marie's, she needs her glasses."
__whisper__,when grandma reads she needs her boat,"When Grant Marie's, she needs her boat."
__whisper__,i wear sunglasses to shade my eyes,I wear sunglasses to shade my eyes.
__whisper__,i wear sunglasses to shade my fire,I wear sunglasses to shade my fire.
__whisper__,at valentines day we drew lots of pants,"At Valentine's Day, we drew a lot of pants."
__whisper__,at valentines day we drew lots of hearts,"At Valentine's Day, we drew lots of hearts."
__whisper__,at dinner my family sits together at the table,"At dinner, my family sits together at the table."
__whisper__,at dinner my family sits together at the man,"At dinner, my family sits together at the men."
__whisper__,we moved our furniture on the back of a flower,We moved our furniture on the back of a flower.
__whisper__,we moved our furniture on the back of a truck,We moved our furniture on the back of a truck.
__whisper__,the boy will grow to become a man,The boy will grow to become a man.
__whisper__,the boy will grow to become a salt,the boy will grow to become assault.
__whisper__,soldiers shoot with their guns,So just shoot with their guns.
__whisper__,soldiers shoot with their glasses,soldiers shoot with their classes.
__whisper__,she sleeps with her head on a pillow,She sleeps with her head on a pillow.
__whisper__,she sleeps with her head on a fish,She sleeps with her head on a fish.
__whisper__,to see what time it is look at a pizza,to see what time it is. Look at a pizza.
__whisper__,to see what time it is look at a clock,to see what time it is. Look at the clock.
__whisper__,the vampire can turn into a bat,The vampire can turn into a bat.
__whisper__,the vampire can turn into a ring,The vampire can turn into a ring.
__whisper__,in the bathtub there is a floating little wheel,"In the bathtub, there is a floating little wheel."
__whisper__,in the bathtub there is a floating little rubber_ducky,"In the bathtub, there is a floating little rubber ducking."
__whisper__,the sound was so loud i had to cover my shirt,"The sound was so loud, I had to cover my shirt."
__whisper__,the sound was so loud i had to cover my ears,"The sound was so loud, I had to cover my ears."
__whisper__,i was scared that under my bed there could be a monster,I was scared that under my bed there could be a monster.
__whisper__,i was scared that under my bed there could be a motorcycle,I was scared that under my bed there could be a motorcycle.
__whisper__,at the playground i like to go down the slide,"At the playground, I like to go down the slide."
__whisper__,at the playground i like to go down the candle,"At the playground, I like to go down the candle."
__whisper__,inside the nest sat a beautiful table,"Inside the nest, sat a beautiful table."
__whisper__,inside the nest sat a beautiful bird,"Inside the nest, sat a beautiful bird."
__whisper__,at the playground the girl went on the swings,"At the playground, the girl went on the swings."
__whisper__,at the playground the girl went on the oranges,"At the playground, the girl went on the oranges."
__whisper__,the bank is where he keeps the spider,The bank is where he keeps the spire.
__whisper__,the bank is where he keeps the money,The bank is where he keeps the money.
__whisper__,i used three big snowballs to make a bear,I use three big snowballs to make a bear.
__whisper__,i used three big snowballs to make a snowman,I used three big snowballs to make a snowman.
__whisper__,the cowboy is very good at riding his hat,The cowboy is very good as riding his hat.
__whisper__,the cowboy is very good at riding his horse,The cowboy is very good as writing his horse.
__whisper__,i fell in the mud and have to put on a new button,I fell in the mud and have to put on a new button.
__whisper__,i fell in the mud and have to put on a new shirt,I fell in the mud and have to put on a new shirt.
__whisper__,you can open the locked door with the key,You can open the locked door with the key.
__whisper__,you can open the locked door with the shovel,You can open the locked door with the shovel.
__whisper__,the coloring book comes with a box of crayons,The coloring book comes with a box of crayons.
__whisper__,the coloring book comes with a box of hair,The coloring book comes with a box of hair.
__whisper__,for breakfast mommy poured me a bowl of cereal,"For breakfast, mommy poured me a bowl of cereal."
__whisper__,for breakfast mommy poured me a bowl of butterfly,"For breakfast, Mommy poured me a bowl of butterfly."
__whisper__,the caterpillar turned into a piano,The caterpillar turned into a piano.
__whisper__,the caterpillar turned into a butterfly,The caterpillar turned into a butterfly.
__whisper__,at the circus the girl saw the truck,and the circus the girls saw the truck.
__whisper__,at the circus the girl saw the clown,at the circus the girl saw the clown.
__whisper__,kids sit in the backseat of the bee,kids sit in the back seat after B.
__whisper__,kids sit in the backseat of the car,kids sit in the backseat of the car.
__whisper__,cows eat a lot of shell,Couse Eat a lot of Shell.
__whisper__,cows eat a lot of grass,cows eat a lot of grass.
__whisper__,i have a spoon but i need a fork,I have a spoon but I need a fork.
__whisper__,i have a spoon but i need a web,I have a spoon but I need a web.
__whisper__,the boy has a toy choochoo leaf,The boy has a toy to leave.
__whisper__,the boy has a toy choochoo train,"The boy has a toy, two-two train."
__whisper__,use the remote to change the channels on the tv,Use the remote to change the channels on the TV.
__whisper__,use the remote to change the channels on the castle,use the remote to change the channels on the castle.
__whisper__,you can make juice from fresh squeezed oranges,You can make juice from fresh squeezed oranges.
__whisper__,you can make juice from fresh squeezed tape,You can make juice from fresh squeezed tape.
__whisper__,to drive the car daddy turns the wheel,"to drive the car, that he turns the wheel."
__whisper__,to drive the car daddy turns the hearts,to drive the car. That it turns the heart.
__whisper__,the man checked the time on his stairs,The men checked the time on his stairs.
__whisper__,the man checked the time on his watch,The man checked the time on his watch.
__whisper__,the aquarium has many different fish,The aquarium has many different fish.
__whisper__,the aquarium has many different swings,The aquarium has many different swings.
__whisper__,the apple grew on a tree,the apple grew on a tree.
__whisper__,the apple grew on a bell,the Apple grew on a bell.
__whisper__,there are three bedrooms in their house,There are three bedrooms in their house.
__whisper__,there are three bedrooms in their carrot,There are three bedrooms in their carrot.
__whisper__,we roasted marshmallows over the fire,We roasted marshmallows over the fire.
__whisper__,we roasted marshmallows over the giraffe,We roasted marshmallows over the giraffe.
__whisper__,in the pond there was one quacking pillow,and the pond. There was one cracking pillow.
__whisper__,in the pond there was one quacking duck,"In the pond, there was one cracking duck."
__whisper__,i want to sleep in my bed,I want to sleep in my bed.
__whisper__,i want to sleep in my dog,I want to sleep in my dog.
__whisper__,the caterpillar is munching on a green cow,The caterpillar is mounting on a green cow.
__whisper__,the caterpillar is munching on a green leaf,The caterpillar is munching on green leaf.
__whisper__,the brave knight killed the chair,The brave knight killed the chair.
__whisper__,the brave knight killed the dragon,The brave knight killed the dragon.
__whisper__,i like to play fetch with my clock,I like to play fetch with my clock.
__whisper__,i like to play fetch with my dog,I like to play fetch with my dog.
__whisper__,the girl took lessons to play the dinosaur,The girl took lessons to play the dinosaur.
__whisper__,the girl took lessons to play the piano,The girl took lessons to play the piano.
__whisper__,i like to bounce the ball,I like to bounce the ball.
__whisper__,i like to bounce the slide,I like to bounce the slide.
__whisper__,daddys shirt was missing a button,That is shirt was missing a button.
__whisper__,daddys shirt was missing a fork,Daddy's shirt was missing a fork.
__whisper__,when we lost electricity we had to light a monster,"When we lost electricity, we had to light a monster."
__whisper__,when we lost electricity we had to light a candle,"When we lost electricity, we had to light a candle."
__whisper__,when recess ends the teacher rings the frog,"When Reese's End, the teacher rings the frog."
__whisper__,when recess ends the teacher rings the bell,"When Recess ends, the teacher rings the bell."
__whisper__,i went sailing on a ghost,I went sailing on a coast.
__whisper__,i went sailing on a boat,I went sailing on a boat.
__whisper__,the farmer milked the nose,The farmer milked the nose.
__whisper__,the farmer milked the cow,The farmer milked the cow.
__whisper__,i pledge allegiance to the elephant,I pledge allegiance to the elephant.
__whisper__,i pledge allegiance to the flag,I pledge allegiance to the flag.
__whisper__,at the zoo i fed the black and white striped pool,"And the zoom, I fed the black and white striped pool."
__whisper__,at the zoo i fed the black and white striped zebra,"At the zoo, I fed the black and white strips zebra."
__whisper__,riding on a broom was an old mean baby,Writing on a broom was an old meme baby.
__whisper__,riding on a broom was an old mean witch,riding on broom was an old's mean witch.
__whisper__,in the woods lived a big growly witch,"in the woods, lived a big growly witch."
__whisper__,in the woods lived a big growly bear,"in the woods, left a big growly bear."
__whisper__,on christmas mommy left cookies for eyes,"On Christmas, Mommy left cookies for eyes."
__whisper__,on christmas mommy left cookies for santa,"On Christmas, Mommy loved cookies for Santa."
__whisper__,there is one bathroom for the boys and one for ants,There's one bathroom for the boys and one for Ants.
__whisper__,there is one bathroom for the boys and one for girls,There is one bathroom for the boys and one for girls.
__whisper__,to cross the river we walked on a bridge,"To cross the river, we walked on a bridge."
__whisper__,to cross the river we walked on a banana,to cross the river we walked on a banana.
__whisper__,i wish i had a trunk like that rubber_ducky,I wish I had a trunk like that rubber duckie.
__whisper__,i wish i had a trunk like that elephant,I wish I had a trunk like that elephant.
__whisper__,the king wore a shiny gold box,the King wore a shiny gold box.
__whisper__,when you go outside please close the girls,When you go outside please close the girls.
__whisper__,she got stung by a bee,She got stunned by a B.
__whisper__,she got stung by a flag,She got stomp by a flag.
__whisper__,the scared turtle wont come out of its shell,The scared turtle won't come out of its shell.
__whisper__,the scared turtle wont come out of its airplane,The scaritor though won't come out of its airplane.
__whisper__,my teacher showed us fossils of an extinct crown,My teacher showed us fossils of extinct crown.
__whisper__,if shorts wont be warm enough you can wear ears,"If shorts won't be warm enough, you can wear ears."
__whisper__,if shorts wont be warm enough you can wear pants,"If short swoon be warm enough, you can wear pants."
__whisper__,i put shampoo in my pig,I push shampoo in my pick.
__whisper__,watch the astronaut launch the rocket,Watch the astronaut launch the rocket.
__whisper__,the spider spun a big web,The spider spawn a big web.
__whisper__,the spider spun a big car,The spider spawn a big car.
__whisper__,the rockstar was playing his guitar,The rock star was playing his guitar.
__whisper__,the rockstar was playing his door,The Rockstar was playing his tour.
__whisper__,my uncle dug a hole with a tree,"Man, go back a hole with the tree."
__whisper__,my uncle dug a hole with a shovel,Mango Dagger Hall with a shovel.
__whisper__,to play tug of war we pulled on the grass,"to play Tiger 4, we pulled on the grass."
__whisper__,to play tug of war we pulled on the rope,to play a tug of war. We pull down the rope.
__whisper__,my friend likes pepperoni on his pizza,My friend likes pepperoni all his pizza.
__whisper__,my friend likes pepperoni on his money,My friend likes pepperoni on his money.
__whisper__,on the ceiling i saw a creepy crawly bag,on the ceiling as our creepy crawly back.
__whisper__,on the ceiling i saw a creepy crawly spider,on the ceiling as saw creepy crawly spider.
__whisper__,it was hot outside so we jumped into the pool,"It was hard outside, so we jumped into the pool."
__whisper__,it was hot outside so we jumped into the guitar,"It was hard outside, so we jumped into the guitar."
__whisper__,mommy read me my favorite broom,Mommy read me my favorite room.
__whisper__,the king lived in a large tv,The King lived in the large TV.
__whisper__,the king lived in a large castle,the king lived in a large castle.
__whisper__,he always wears a helmet on that fast loud ball,He always wears a helmet on that vast boutball.
__whisper__,he always wears a helmet on that fast loud motorcycle,He always wears a helmet on the fast loud motorcycle.
__whisper__,the bride wore a fancy dress,The bright war of fancy dress.
__whisper__,the bride wore a fancy bed,the bride wore a fancy bat.
__whisper__,when daddy cooks he adds pepper and salt,"when Daddy cooks, he adds pepper and salt."
__whisper__,when daddy cooks he adds pepper and duck,"when Daddy cooks, he adds pepper and duck."
__whisper__,the mommy put a diaper on her cereal,and mommy put a diaper on her cereal.
__whisper__,when i get a cold i have a runny nose,"When I get the code, I have a runny nose."
__whisper__,when i get a cold i have a runny pumpkin,"When I got a code, I have a runny pumpkin."
__whisper__,the bee sat on the petals of the flower,the B set on the petals of the flower.
__whisper__,the bee sat on the petals of the watch,the beast set on the petals of the watch.
__whisper__,first put on your socks then put on your shoes,"First put on your socks, then put on your shoes."
__whisper__,the gift was inside the zebra,The gift was inside the zebra.
__whisper__,the gift was inside the box,The gift was inside the box.
__whisper__,at the picnic the crumbs attracted eggs,"at the picnic, the crumbs attracted ax."
__whisper__,at the picnic the crumbs attracted ants,at the picnic the crumbs attracted ants.
__whisper__,the pilot flew the airplane,the pilots through the airplane.
__whisper__,the pilot flew the rope,The pilot's through the rope.
__whisper__,on her finger she wore a rocket,Our fingers should walk around.
__whisper__,for halloween he carved a pumpkin,for Halloween he carved the pumpkin.
__whisper__,for halloween he carved a dress,For Halloween he carved a dress.
__whisper__,at the zoo i saw a tall giraffe,"At the zoo, I saw a tall giraffe."
__whisper__,at the zoo i saw a tall key,"At the zoo, I saw a tall key."
__whisper__,at the haunted house i saw a bird,At the haunted house I saw a bird.
__whisper__,at the haunted house i saw a ghost,at the haunted house I saw a ghost.
__whisper__,sitting on the lilypad was a bridge,Sitting on the little pad was a bridge.
__whisper__,sitting on the lilypad was a frog,sitting on the lid of the pad that was a frog.
__whisper__,grandma sits on her porch in a bat,friend must eat some her porch in a bed.
__whisper__,grandma sits on her porch in a chair,Grandma sits on her porch in the chair.
__whisper__,i fixed the torn page with a piece of tape,fix the torn page with a piece of tape.
__whisper__,i fixed the torn page with a piece of book,I fixed a ton page with a piece of book.
__whisper__,the bunny nibbled a clown,The bunny labeled the cloud.
__whisper__,the bunny nibbled a carrot,the bunny enabled a carrot.
__whisper__,for breakfast i scrambled the eggs,"So, breakfast, I scrambled the eggs."
__whisper__,for breakfast i scrambled the guns,"For breakfast, I scrumbo that counts."
__whisper__,oink oink said the pig,"on calling, set the pick."
__whisper__,oink oink said the shoes,"I'll ink on it, set the shoes."
__whisper__,to keep the sun out of my face i wear a hat,"To keep the sound out of my face, I wear a hat."
__whisper__,to keep the sun out of my face i wear a train,"To keep the sound out of my face, I wear a train."
__whisper__,the boy put the groceries in a horse,The boy put the groceries in the house.
__whisper__,when grandma reads she needs her glasses,"One grandma reads, she needs her glasses."
__whisper__,when grandma reads she needs her boat,One grandma reads she needs her boat.
__whisper__,i wear sunglasses to shade my eyes,Our sunglasses to shape my eyes.
__whisper__,at valentines day we drew lots of pants,"At the other end of the day, which you lots of pens."
__whisper__,at valentines day we drew lots of hearts,"at Valentine's Day, which will lots of hurts."
__whisper__,at dinner my family sits together at the man,at the innermost family seats together at the man.
__whisper__,we moved our furniture on the back of a truck,We move the hour for nature on the back of a truck.
__whisper__,the boy will grow to become a salt,The boy will grow to become a salt.
__whisper__,soldiers shoot with their guns,So just shoot with their accounts.
__whisper__,soldiers shoot with their glasses,Such a shoot with their glasses.
__whisper__,she sleeps with her head on a pillow,She sleeps with her head on the pillow.
__whisper__,to see what time it is look at a pizza,to see what time it is. Look at the pizza.
__whisper__,in the bathtub there is a floating little wheel,"in the bathtub, there is a floating little wheel."
__whisper__,in the bathtub there is a floating little rubber_ducky,"in the bathtub, there is a floating little rubber dockie."
__whisper__,the sound was so loud i had to cover my shirt,The sound was so loud I had to cover my shirt.
__whisper__,the sound was so loud i had to cover my ears,The sound was so loud I have to cover my ears.
__whisper__,i was scared that under my bed there could be a motorcycle,I would scared that under my bed there could be a motorcycle.
__whisper__,at the playground i like to go down the slide,"As a playground, I'd like to go down the slide."
__whisper__,at the playground i like to go down the candle,"As a playground, I'd like to go down the candle."
__whisper__,inside the nest sat a beautiful table,"Inside the nest, set up beautiful table."
__whisper__,inside the nest sat a beautiful bird,"Inside the nest, set a beautiful bird."
__whisper__,at the playground the girl went on the swings,at the playground the girl went on the swings.
__whisper__,at the playground the girl went on the oranges,"Head the playground to grow, went on the oranges."
__whisper__,the bank is where he keeps the spider,The bank hits where he keeps the spider.
__whisper__,i used three big snowballs to make a bear,I use three big snowballs to make up bare.
__whisper__,i used three big snowballs to make a snowman,I use three big snowballs to make a snowman.
__whisper__,the cowboy is very good at riding his hat,The cowboy is very good at riding his hat.
__whisper__,the cowboy is very good at riding his horse,Cowboy is very good at writing his horse.
__whisper__,i fell in the mud and have to put on a new button,I fell in the mud and had to put on a new bottle.
__whisper__,i fell in the mud and have to put on a new shirt,I fed in the mud and I had to put on the new shirt.
__whisper__,you can open the locked door with the shovel,You can open the lock door with the shovel.
__whisper__,the coloring book comes with a box of crayons,The coloring book comes with the box of crayons.
__whisper__,for breakfast mommy poured me a bowl of cereal,"For breakfast, mommy poured me a ball of cereal."
__whisper__,for breakfast mommy poured me a bowl of butterfly,"For breakfast, mommy poor me a bowl of butterfly."
__whisper__,the caterpillar turned into a butterfly,the caterpillar turned the into a butterfly.
__whisper__,at the circus the girl saw the truck,"Add the circus, the girl saw the track."
__whisper__,at the circus the girl saw the clown,at the circus the girls saw the clown.
__whisper__,kids sit in the backseat of the bee,kids sit in the back seat of the bee.
__whisper__,kids sit in the backseat of the car,kids sit in the back seat of the car.
__whisper__,cows eat a lot of shell,cows eat a lot of shell.
__whisper__,i have a spoon but i need a web,I have spoon banana in the web.
__whisper__,the boy has a toy choochoo leaf,The boy has a toy to live.
__whisper__,the boy has a toy choochoo train,The boy has a toy to train.
__whisper__,use the remote to change the channels on the castle,Use the remote to change the channels on the castle.
__whisper__,you can make juice from fresh squeezed oranges,You can make juice from fresh squeeze oranges.
__whisper__,you can make juice from fresh squeezed tape,You can make juice from fresh squeeze tape.
__whisper__,to drive the car daddy turns the wheel,to drive the car that it turns the wheel.
__whisper__,to drive the car daddy turns the hearts,To drive the car that it turns the hearts.
__whisper__,the man checked the time on his stairs,The man checked the time all his stairs.
__whisper__,the aquarium has many different fish,The accordium has many different fish.
__whisper__,the aquarium has many different swings,The core room has many different swings.
__whisper__,the apple grew on a tree,the apple grew on the tree.
__whisper__,the apple grew on a bell,"Now, poke the glue on the bow."
__whisper__,there are three bedrooms in their carrot,There are three bedrooms in their carot.
__whisper__,we roasted marshmallows over the giraffe,We roll sit marshmallows over the giraffe.
__whisper__,in the pond there was one quacking pillow,In the palm there was one cracking pillow.
__whisper__,in the pond there was one quacking duck,in the pond there was one cracking duck.
__whisper__,i want to sleep in my dog,I want you to sleep in my dark.
__whisper__,the caterpillar is munching on a green cow,The caterpillar is marching on the green cow.
__whisper__,the caterpillar is munching on a green leaf,The caterpillar is munching on a green leaf.
__whisper__,the brave knight killed the dragon,the brave knight killed the dragon.
__whisper__,i like to play fetch with my clock,I'd like to play Fetch with my clock.
__whisper__,i like to play fetch with my dog,I'd like to play a fetch with my darling.
__whisper__,i like to bounce the ball,I think it bounced the ball.
__whisper__,i like to bounce the slide,I hope you found this slide.
__whisper__,daddys shirt was missing a button,that it's sure it was missing a button.
__whisper__,daddys shirt was missing a fork,that it's sure it was missing a fork.
__whisper__,when we lost electricity we had to light a monster,"When we lost electricity, we had to light monster."
__whisper__,when recess ends the teacher rings the frog,"When recess ends, the teacher reads the frog."
__whisper__,when recess ends the teacher rings the bell,"One recess ends, the teacher reads the bell."
__whisper__,i went sailing on a ghost,I want sailing on the ghost.
__whisper__,i went sailing on a boat,at one standing on the boat.
__whisper__,the farmer milked the cow,the farmer makes the call.
__whisper__,i pledge allegiance to the flag,Applage allegiance to the flag.
__whisper__,at the zoo i fed the black and white striped pool,"At the zoo, I fed the black and white stripped pool."
__whisper__,at the zoo i fed the black and white striped zebra,At the zoo I've fed the black and white strips of zebra.
__whisper__,riding on a broom was an old mean baby,Running on a broom was an old mean baby.
__whisper__,riding on a broom was an old mean witch,running on a broom was that old mean witch.
__whisper__,in the woods lived a big growly witch,"in the woods, lift the big, grow the witch."
__whisper__,in the woods lived a big growly bear,"In the woods, lift the big crawly bear."
__whisper__,on christmas mommy left cookies for eyes,"on Christmas, mommy left cookies for eyes."
__whisper__,on christmas mommy left cookies for santa,"On Christmas, Mommy left cookies for Santa."
__whisper__,there is one bathroom for the boys and one for ants,There's one bathroom for the boys and one for ants.
__whisper__,to cross the river we walked on a bridge,to cross the river we walked on a bridge.
__whisper__,to cross the river we walked on a banana,across the river we walked on a banana.
__whisper__,i wish i had a trunk like that rubber_ducky,I wish I had a trunk like that rubber tacky.
__whisper__,i wish i had a trunk like that elephant,I wish I had that trunk like that elephant.
__whisper__,the monkey ate the banana,The monkey ate the banana.
__whisper__,the monkey ate the shark,The monkey ate the shark.
__whisper__,the king wore a shiny gold crown,Looking for a shining glow crowd.
__whisper__,the king wore a shiny gold box,Looking world a shining glow box.
__whisper__,when you go outside please close the girls,"When you go outside, please close the grooves."
__whisper__,she got stung by a bee,She got a stomp by her B.
__whisper__,she got stung by a flag,She goes dumb by a flag.
__whisper__,the scared turtle wont come out of its shell,The scared turtle won't come out of each child.
__whisper__,the scared turtle wont come out of its airplane,The scared turtle won't come out of its airplane.
__whisper__,my teacher showed us fossils of an extinct crown,My teacher showed us a puzzle of an extinct crown.
__whisper__,my teacher showed us fossils of an extinct dinosaur,My teacher showed us fuzzles of an extinct dinosaur.
__whisper__,if shorts wont be warm enough you can wear ears,"If shirts won't be warm enough, you can wear yours."
__whisper__,if shorts wont be warm enough you can wear pants,"If short won't be warm enough, you can wear pants."
__whisper__,i put shampoo in my hair,I pull the shampoo in my hair.
__whisper__,i put shampoo in my pig,I push and pull in my peak.
__whisper__,the spider spun a big web,the spiders from a big lab.
__whisper__,my uncle dug a hole with a tree,My uncle dug a hole with the tree.
__whisper__,my uncle dug a hole with a shovel,My uncle dug a hole with the shovel.
__whisper__,to play tug of war we pulled on the grass,To play talk of war we pulled on the grass.
__whisper__,to play tug of war we pulled on the rope,"To play talk of war, we plot on the rope."
__whisper__,my friend likes pepperoni on his pizza,My friends likes Poveroni and his pizza.
__whisper__,my friend likes pepperoni on his money,My friends like Poverani and his money.
__whisper__,on the ceiling i saw a creepy crawly bag,on the ceiling I saw a creepy chronlly back.
__whisper__,on the ceiling i saw a creepy crawly spider,on the selling I saw a creepy crawlies spider.
__whisper__,it was hot outside so we jumped into the pool,It was hard outside so we jump into the pool.
__whisper__,it was hot outside so we jumped into the guitar,It was hot outside so we jump into the guitar.
__whisper__,mommy read me my favorite broom,Mommy read me my favorite bro.
__whisper__,the king lived in a large tv,"Looking, live in a large TV."
__whisper__,please sweep the floor with a broom,Place weaped the floor with a broom.
__whisper__,he always wears a helmet on that fast loud ball,"He always wears a helmet on the face, loud bow."
__whisper__,he always wears a helmet on that fast loud motorcycle,He always wears a helmet and a fast-doubt motorcycle.
__whisper__,the bride wore a fancy dress,the bright war of fancy dress.
__whisper__,the bride wore a fancy bed,Let the bride wore a fancy bed.
__whisper__,when daddy cooks he adds pepper and duck,when Daddy cooks he adds pepper and dog.
__whisper__,the mommy put a diaper on her cereal,The mommy put a diaper on her cereal.
__whisper__,when i get a cold i have a runny nose,"When I get the cold, I have a running nose."
__whisper__,when i get a cold i have a runny pumpkin,"When I get a code, I have a runny pumpkin."
__whisper__,the bee sat on the petals of the watch,The B said on the petals of the watch.
